"","name","inDegree1","outDegree1","TotalDegree","betweenness1","inCloseness1","outCloseness1","inDegreeR","outDegreeR","TotalDegreeR","betweennessR","inClosenessR","outClosenessR","inDegreeM","outDegreeM","TotalDegreeM","betweennessM","inClosenessM","outClosenessM","inDegreeE","outDegreeE","TotalDegreeE","betweennessE","inClosenessE","outClosenessE"
"98","Reel Recovery",1,2,3,1.58820409057846e-06,0.00125944584382872,0.00126902539169572,1,0,1,0,0.00268817204301075,0.00268096514745308,1,0,1,0,0.00198807157057654,0.00198412698412698,1,0,1,0,0.00421940928270042,0.00420168067226891
"99","Rocky Mountain Coal Mining Institute",1,0,1,0,0.00125944584382872,0.00125786163522013,1,0,1,0,0.00268817204301075,0.00268096514745308,1,0,1,0,0.00198807157057654,0.00198412698412698,1,0,1,0,0.00421940928270042,0.00420168067226891
"100","San Antonio Bay Partnership",5,10,15,0.0137583054052254,0.00145419114738246,0.00253708975993507,2,10,12,0.000289174302303595,0.00269541778975741,0.00390280750346217,3,10,13,0.000649489517080782,0.00199600798403194,0.00266507009717174,1,0,1,0,0.00421940928270042,0.00420168067226891
"101","San Antonio River Authority",5,0,5,0,0.00145680054308937,0.00125786163522013,3,0,3,0,0.0030451118587461,0.00268096514745308,4,0,4,0,0.00224015534118946,0.00198412698412698,2,0,2,0,0.00440307658009141,0.00420168067226891
"102","San Antonio River Foundation",2,9,11,0.0112707958652956,0.00145366666361531,0.0025368222626921,0,9,9,0,0.00268096514745308,0.00415860843124322,0,6,6,0,0.00198412698412698,0.00200803212851406,0,5,5,0,0.00420168067226891,0.00462637620051534
"103","San Marcos Greenbelt Alliance",3,10,13,0.00357872113250566,0.00145439891561189,0.00253670069168224,2,0,2,0,0.0030440902098131,0.00268096514745308,2,8,10,0.00100558666592741,0.00222979772232591,0.00257909039634928,1,0,1,0,0.00421940928270042,0.00420168067226891
"104","San Marcos River Foundation",5,18,23,0.00787553230803897,0.00145455611307433,0.00253896382136439,4,13,17,0.00274458535696689,0.00303561956832184,0.00372376099860859,4,12,16,0.0037016502138123,0.0022298273767832,0.00258030758497574,0,6,6,0,0.00420168067226891,0.00503847952719078
"105","Save Our Springs Alliance",6,10,16,0.00867697301627218,0.00145473999728839,0.00253751138524472,4,9,13,0.00276069851758922,0.00303631332794633,0.00372253132129848,2,2,4,0.00046335532621007,0.00222930359746666,0.00257881272077559,2,3,5,0.000536365586783952,0.00438385557323074,0.00425531914893617
"106","Sierra Club",9,0,9,0,0.00146138286574603,0.00125786163522013,4,0,4,0,0.00304688267863578,0.00268096514745308,4,0,4,0,0.00224103363778124,0.00198412698412698,1,0,1,0,0.00421940928270042,0.00420168067226891
"107","Sierra Club, Lone Star Chapter",2,10,12,0.00591080713205667,0.00145458808959823,0.002527744704152,2,6,8,0.00983634273348211,0.00303636289433947,0.00371531869843997,1,9,10,0.00586223693694407,0.00222975818427644,0.00257710831027769,1,6,7,0.00269970678681256,0.00436504282162262,0.00489305475266331
